conv1   [32, 56, 56, 64]
pool1   [32, 27, 27, 64]
conv2   [32, 27, 27, 192]
pool2   [32, 13, 13, 192]
conv3   [32, 13, 13, 384]
conv4   [32, 13, 13, 256]
conv5   [32, 13, 13, 256]
pool5   [32, 6, 6, 256]
2018-11-27 17:29:37.741313: step 0, duration = 0.681
2018-11-27 17:29:44.766052: step 10, duration = 0.814
2018-11-27 17:29:51.892835: step 20, duration = 0.754
2018-11-27 17:29:59.213554: step 30, duration = 0.725
2018-11-27 17:30:06.485996: step 40, duration = 0.737
2018-11-27 17:30:14.277701: step 50, duration = 0.884
2018-11-27 17:30:22.280394: step 60, duration = 0.767
2018-11-27 17:30:29.905923: step 70, duration = 0.789
2018-11-27 17:30:37.920556: step 80, duration = 0.789
2018-11-27 17:30:45.353415: step 90, duration = 0.729
2018-11-27 17:30:52.354414: Forward across 100 steps, 0.753 +/- 0.046 sec / batch
2018-11-27 17:31:19.579852: step 0, duration = 2.439
2018-11-27 17:31:43.674019: step 10, duration = 2.467
2018-11-27 17:32:07.759011: step 20, duration = 2.349
2018-11-27 17:32:31.611372: step 30, duration = 2.319
2018-11-27 17:32:58.049856: step 40, duration = 2.868
2018-11-27 17:33:24.804098: step 50, duration = 2.637
2018-11-27 17:33:48.370690: step 60, duration = 2.345
2018-11-27 17:34:11.808631: step 70, duration = 2.360
2018-11-27 17:34:35.422752: step 80, duration = 2.320
2018-11-27 17:34:58.934468: step 90, duration = 2.324
2018-11-27 17:35:19.987535: Forward-backward across 100 steps, 2.428 +/- 0.141 sec / batch
