Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
step 0, loss = 6.32 (31.1 examples/sec; 4.117 sec/batch)
step 10, loss = 4.75 (256.7 examples/sec; 0.499 sec/batch)
step 20, loss = 3.72 (257.9 examples/sec; 0.496 sec/batch)
step 30, loss = 3.14 (256.4 examples/sec; 0.499 sec/batch)
step 40, loss = 2.73 (252.9 examples/sec; 0.506 sec/batch)
step 50, loss = 2.49 (251.6 examples/sec; 0.509 sec/batch)
step 60, loss = 2.16 (253.4 examples/sec; 0.505 sec/batch)
step 70, loss = 2.09 (255.5 examples/sec; 0.501 sec/batch)
step 80, loss = 2.05 (253.7 examples/sec; 0.505 sec/batch)
step 90, loss = 2.02 (257.3 examples/sec; 0.498 sec/batch)
step 100, loss = 2.05 (258.9 examples/sec; 0.494 sec/batch)
step 110, loss = 1.93 (256.8 examples/sec; 0.498 sec/batch)
step 120, loss = 2.02 (266.2 examples/sec; 0.481 sec/batch)
step 130, loss = 1.93 (256.5 examples/sec; 0.499 sec/batch)
step 140, loss = 1.85 (257.6 examples/sec; 0.497 sec/batch)
step 150, loss = 1.73 (258.6 examples/sec; 0.495 sec/batch)
step 160, loss = 1.85 (262.5 examples/sec; 0.488 sec/batch)
step 170, loss = 1.82 (250.3 examples/sec; 0.511 sec/batch)
step 180, loss = 1.75 (257.3 examples/sec; 0.498 sec/batch)
step 190, loss = 1.87 (259.5 examples/sec; 0.493 sec/batch)
step 200, loss = 1.74 (252.8 examples/sec; 0.506 sec/batch)
step 210, loss = 1.77 (253.1 examples/sec; 0.506 sec/batch)
step 220, loss = 1.66 (250.5 examples/sec; 0.511 sec/batch)
step 230, loss = 1.67 (259.4 examples/sec; 0.493 sec/batch)
step 240, loss = 1.73 (259.4 examples/sec; 0.494 sec/batch)
step 250, loss = 1.73 (257.4 examples/sec; 0.497 sec/batch)
step 260, loss = 1.69 (260.7 examples/sec; 0.491 sec/batch)
step 270, loss = 1.71 (261.5 examples/sec; 0.490 sec/batch)
step 280, loss = 1.68 (263.8 examples/sec; 0.485 sec/batch)
step 290, loss = 1.59 (262.6 examples/sec; 0.487 sec/batch)
step 300, loss = 1.73 (259.5 examples/sec; 0.493 sec/batch)
step 310, loss = 1.58 (257.4 examples/sec; 0.497 sec/batch)
step 320, loss = 1.68 (260.3 examples/sec; 0.492 sec/batch)
step 330, loss = 1.52 (258.7 examples/sec; 0.495 sec/batch)
step 340, loss = 1.62 (255.8 examples/sec; 0.500 sec/batch)
step 350, loss = 1.66 (240.7 examples/sec; 0.532 sec/batch)
step 360, loss = 1.52 (261.7 examples/sec; 0.489 sec/batch)
step 370, loss = 1.60 (234.1 examples/sec; 0.547 sec/batch)
step 380, loss = 1.51 (264.8 examples/sec; 0.483 sec/batch)
step 390, loss = 1.52 (255.8 examples/sec; 0.500 sec/batch)
step 400, loss = 1.46 (251.9 examples/sec; 0.508 sec/batch)
step 410, loss = 1.61 (235.5 examples/sec; 0.544 sec/batch)
step 420, loss = 1.70 (265.2 examples/sec; 0.483 sec/batch)
step 430, loss = 1.52 (256.4 examples/sec; 0.499 sec/batch)
step 440, loss = 1.41 (253.5 examples/sec; 0.505 sec/batch)
step 450, loss = 1.60 (258.9 examples/sec; 0.494 sec/batch)
step 460, loss = 1.59 (259.6 examples/sec; 0.493 sec/batch)
step 470, loss = 1.52 (219.9 examples/sec; 0.582 sec/batch)
step 480, loss = 1.51 (260.5 examples/sec; 0.491 sec/batch)
step 490, loss = 1.57 (261.5 examples/sec; 0.490 sec/batch)
step 500, loss = 1.50 (257.3 examples/sec; 0.497 sec/batch)
step 510, loss = 1.69 (261.3 examples/sec; 0.490 sec/batch)
step 520, loss = 1.59 (260.0 examples/sec; 0.492 sec/batch)
step 530, loss = 1.74 (257.2 examples/sec; 0.498 sec/batch)
step 540, loss = 1.49 (248.1 examples/sec; 0.516 sec/batch)
step 550, loss = 1.60 (255.0 examples/sec; 0.502 sec/batch)
step 560, loss = 1.55 (254.0 examples/sec; 0.504 sec/batch)
step 570, loss = 1.47 (261.0 examples/sec; 0.490 sec/batch)
step 580, loss = 1.46 (255.8 examples/sec; 0.500 sec/batch)
step 590, loss = 1.46 (263.0 examples/sec; 0.487 sec/batch)
step 600, loss = 1.62 (261.8 examples/sec; 0.489 sec/batch)
step 610, loss = 1.51 (260.0 examples/sec; 0.492 sec/batch)
step 620, loss = 1.47 (257.5 examples/sec; 0.497 sec/batch)
step 630, loss = 1.52 (258.9 examples/sec; 0.494 sec/batch)
step 640, loss = 1.50 (260.6 examples/sec; 0.491 sec/batch)
step 650, loss = 1.48 (263.3 examples/sec; 0.486 sec/batch)
step 660, loss = 1.43 (262.7 examples/sec; 0.487 sec/batch)
step 670, loss = 1.40 (258.8 examples/sec; 0.495 sec/batch)
step 680, loss = 1.41 (259.7 examples/sec; 0.493 sec/batch)
step 690, loss = 1.49 (258.8 examples/sec; 0.495 sec/batch)
